id,name,gender,dob,image_url,description,analysis,level,program,created_at,cgpa
1,Ahmad Kumar_1,Male,2004-08-01,https://api.example.com/avatar/1.jpg,,{},Degree,Bachelor in Information Technology (Cybersecurity) (Honours),2025-11-18T08:51:04.250820,
2,Hassan Lee_2,Other,2004-02-21,https://api.example.com/avatar/2.jpg,,{},Diploma,Diploma in Information Technology,2025-11-18T08:51:04.251761,
3,Lim Lee_3,Male,2000-03-23,https://api.example.com/avatar/3.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-18T08:51:04.251958,
4,Nur Tan_4,Other,2004-04-22,https://api.example.com/avatar/4.jpg,,{},Degree,Bachelor of Information Technology (Hons),2025-11-18T08:51:04.252416,
5,Mary Smith_5,Other,2006-03-09,https://api.example.com/avatar/5.jpg,,{},Diploma,Diploma in Information Technology,2025-11-18T08:51:04.252740,
6,Aisha Bin_6,Female,1998-07-03,https://api.example.com/avatar/6.jpg,,{},Diploma,Diploma in Computer Science,2025-11-18T08:51:04.253140,
7,Hassan Lee_7,Male,1997-03-19,https://api.example.com/avatar/7.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-18T08:51:04.253415,
8,Hassan Wong_8,Other,2003-07-30,https://api.example.com/avatar/8.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-18T08:51:04.254071,
9,Sofia Bin_9,Female,2003-01-21,https://api.example.com/avatar/9.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-18T08:51:04.254400,
10,John Kumar_10,Other,1996-12-03,https://api.example.com/avatar/10.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-18T08:51:04.254717,
11,John Ng_11,Other,2003-10-13,https://api.example.com/avatar/11.jpg,,{},Diploma,Diploma in Computer Science,2025-11-18T08:51:04.255020,
12,Ibrahim Wong_12,Other,2007-05-23,https://api.example.com/avatar/12.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-18T08:51:04.255227,
13,John Kumar_13,Male,1998-03-23,https://api.example.com/avatar/13.jpg,,{},Diploma,Diploma in Information Technology,2025-11-18T08:51:04.255550,
14,Nur Bin_14,Male,2005-04-24,https://api.example.com/avatar/14.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-18T08:51:04.255721,
15,Chun Lim_15,Other,2006-10-03,https://api.example.com/avatar/15.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-18T08:51:04.256024,
16,Ahmad Ng_16,Male,1999-04-29,https://api.example.com/avatar/16.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-18T08:51:04.256269,
17,Ibrahim Smith_17,Female,2000-06-06,https://api.example.com/avatar/17.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-18T08:51:04.256505,
18,Chun Wong_18,Other,2006-07-12,https://api.example.com/avatar/18.jpg,,{},Degree,Bachelor of Information Technology (Hons) (Internet Engineering and Cloud Computing),2025-11-18T08:51:04.256734,
19,Hassan Tan_19,Other,2000-05-29,https://api.example.com/avatar/19.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-18T08:51:04.257056,
20,Aisha Ng_20,Male,1997-10-30,https://api.example.com/avatar/20.jpg,,{},Degree,Bachelor of Information Technology (Hons) (Internet Engineering and Cloud Computing),2025-11-18T08:51:04.257310,
21,Siti Kumar_21,Male,2000-09-09,https://api.example.com/avatar/21.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-18T08:51:04.257547,
22,Lim Binti_22,Female,1999-10-09,https://api.example.com/avatar/22.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-18T08:51:04.257785,
23,Wei Lim_23,Female,1997-08-12,https://api.example.com/avatar/23.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-18T08:51:04.258725,
