id,name,gender,dob,image_url,description,analysis,level,program,created_at,cgpa
1,Ahmad Kumar_1,Male,2004-07-28,https://api.example.com/avatar/1.jpg,,{},Degree,Bachelor in Information Technology (Cybersecurity) (Honours),2025-11-14T17:18:11.674627,
2,Hassan Lee_2,Other,2004-02-17,https://api.example.com/avatar/2.jpg,,{},Diploma,Diploma in Information Technology,2025-11-14T17:18:11.674898,
3,Lim Lee_3,Male,2000-03-19,https://api.example.com/avatar/3.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-14T17:18:11.675055,
4,Nur Tan_4,Other,2004-04-18,https://api.example.com/avatar/4.jpg,,{},Degree,Bachelor of Information Technology (Hons),2025-11-14T17:18:11.675485,
5,Mary Smith_5,Other,2006-03-05,https://api.example.com/avatar/5.jpg,,{},Diploma,Diploma in Information Technology,2025-11-14T17:18:11.675681,
6,Aisha Bin_6,Female,1998-06-29,https://api.example.com/avatar/6.jpg,,{},Diploma,Diploma in Computer Science,2025-11-14T17:18:11.675830,
7,Hassan Lee_7,Male,1997-03-15,https://api.example.com/avatar/7.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-14T17:18:11.676023,
8,Hassan Wong_8,Other,2003-07-26,https://api.example.com/avatar/8.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-14T17:18:11.676237,
9,Sofia Bin_9,Female,2003-01-17,https://api.example.com/avatar/9.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-14T17:18:11.676447,
10,John Kumar_10,Other,1996-11-29,https://api.example.com/avatar/10.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-14T17:18:11.676650,
11,John Ng_11,Other,2003-10-09,https://api.example.com/avatar/11.jpg,,{},Diploma,Diploma in Computer Science,2025-11-14T17:18:11.676842,
12,Ibrahim Wong_12,Other,2007-05-19,https://api.example.com/avatar/12.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-14T17:18:11.676973,
13,John Kumar_13,Male,1998-03-19,https://api.example.com/avatar/13.jpg,,{},Diploma,Diploma in Information Technology,2025-11-14T17:18:11.677176,
14,Nur Bin_14,Male,2005-04-20,https://api.example.com/avatar/14.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-14T17:18:11.677283,
15,Chun Lim_15,Other,2006-09-29,https://api.example.com/avatar/15.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-14T17:18:11.677445,
16,Ahmad Ng_16,Male,1999-04-25,https://api.example.com/avatar/16.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-14T17:18:11.677597,
17,Ibrahim Smith_17,Female,2000-06-02,https://api.example.com/avatar/17.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-14T17:18:11.677747,
18,Chun Wong_18,Other,2006-07-08,https://api.example.com/avatar/18.jpg,,{},Degree,Bachelor of Information Technology (Hons) (Internet Engineering and Cloud Computing),2025-11-14T17:18:11.677890,
19,Hassan Tan_19,Other,2000-05-25,https://api.example.com/avatar/19.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-14T17:18:11.678138,
20,Aisha Ng_20,Male,1997-10-26,https://api.example.com/avatar/20.jpg,,{},Degree,Bachelor of Information Technology (Hons) (Internet Engineering and Cloud Computing),2025-11-14T17:18:11.678358,
21,Siti Kumar_21,Male,2000-09-05,https://api.example.com/avatar/21.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-14T17:18:11.678531,
22,Lim Binti_22,Female,1999-10-05,https://api.example.com/avatar/22.jpg,,{},Degree,Bachelor in Software Engineering (Honours),2025-11-14T17:18:11.678688,
23,Wei Lim_23,Female,1997-08-08,https://api.example.com/avatar/23.jpg,,{},Degree,Bachelor of Computer Science (Honours) (Data Science),2025-11-14T17:18:11.678888,
24,Mary Binti_24,Male,1999-01-09,https://api.example.com/avatar/24.jpg,,{},Degree,Bachelor of Software Engineering (Honours) (Application Development) ODL,2025-11-14T17:18:11.679082,
25,Nur Lee_25,Other,1998-03-19,https://api.example.com/avatar/25.jpg,,{},Degree,Bachelor in Computer Science (Honours) (Artificial Intelligence),2025-11-14T17:18:11.679279,
